problem, behaviour, target_goal, state, G1, G2, G3, G4, G5, G6, G7
Sokoban-A, amb,,1, 26, 15, 26, 26, 14
Sokoban-A, amb,,2, 25, 14, 25, 25, 13
Sokoban-A, amb,,3, 24, 13, 24, 24, 12
Sokoban-A, amb,,4, 23, 14, 23, 23, 11
Sokoban-A, amb,,5, 22, 15, 22, 22, 10
Sokoban-A, amb,,6, 21, 16, 21, 21, 9
Sokoban-A, amb,,7, 20, 17, 20, 20, 18
Sokoban-A, amb,,8, 19, 18, 19, 19, 17
Sokoban-A, amb,,9, 18, 17, 18, 18, 16
Sokoban-A, amb,,10, 17, 16, 17, 17, 15
Sokoban-A, amb,,11, 16, 21, 16, 16, 14
Sokoban-A, amb,,12, 15, 20, 15, 15, 13
Sokoban-A, amb,,13, 14, 19, 14, 14, 12
Sokoban-A, amb,,14, 13, 18, 13, 13, 13
Sokoban-A, amb,,15, 12, 17, 12, 12, 12
Sokoban-A, amb,,16, 11, 16, 11, 11, 11
Sokoban-A, amb,,17, 10, 15, 10, 10, 36
Sokoban-A, amb,,18, 9, 14, 9, 9, 35
Sokoban-A, amb,,19, 8, 13, 8, 8, 34
Sokoban-A, amb,,20, 7, 12, 7, 7, 35
Sokoban-A, amb,,21, 6, 11, 6, 8, 34
Sokoban-A, amb,,22, 5, 10, 5, 9, 33
Sokoban-A, amb,,23, 6, 11, 6, 12, 32
Sokoban-A, amb,,24, 7, 12, 7, 11, 31
Sokoban-A, amb,,25, 8, 13, 8, 10, 32
Sokoban-A, amb,,26, 9, 14, 9, 9, 33
Sokoban-A, amb,,27, 10, 15, 10, 8, 38
Sokoban-A, amb,,28, 11, 14, 11, 7, 39
Sokoban-A, amb,,29, 12, 13, 12, 6, 38
Sokoban-A, amb,,30, 9, 12, 9, 5, 37
Sokoban-A, amb,,31, , , , 4, 
Sokoban-A, amb,,32, , , , 3, 
Sokoban-A, amb,,33, , , , 2, 
Sokoban-A, amb,,34, , , , 1, 
Sokoban-A, amb,,35, , , , 0, 
Sokoban-A, loi, 4,1, 26, 15, 26, 26, 14
Sokoban-A, loi, 4,2, 25, 14, 25, 25, 13
Sokoban-A, loi, 4,3, 24, 13, 24, 24, 12
Sokoban-A, loi, 4,4, 23, 14, 23, 23, 11
Sokoban-A, loi, 4,5, 22, 15, 22, 22, 10
